the_geom,id,xmin,xmax,ymin,ymax
"MULTIPOLYGON (((-73.95816284567162 40.80102139639506, -73.95712568765475 40.800585819055705, -73.95769888161104 40.7997976741014, -73.95873603109862 40.800233246338074, -73.95816284567162 40.80102139639506)))",82,989030.73113,989358.81512,231243.27134,231571.35533
"MULTIPOLYGON (((-73.95712568765475 40.800585819055705, -73.95608854321127 40.800150232354575, -73.9566617456964 40.79936209250307, -73.95769888161104 40.7997976741014, -73.95712568765475 40.800585819055705)))",83,989358.81512,989686.89911,231243.27134,231571.35533
"MULTIPOLYGON (((-73.95608854321127 40.800150232354575, -73.9550514123412 40.7997146362919, -73.95562462335477 40.79892650154327, -73.9566617456964 40.79936209250307, -73.95608854321127 40.800150232354575)))",84,989686.89911,990014.9831,231243.27134,231571.35533
"MULTIPOLYGON (((-73.9550514123412 40.7997146362919, -73.9540142950446 40.799279030867886, -73.95458751458612 40.798490901222216, -73.95562462335477 40.79892650154327, -73.9550514123412 40.7997146362919)))",85,990014.9831,990343.06709,231243.27134,231571.35533
"MULTIPOLYGON (((-73.9540142950446 40.799279030867886, -73.95297719132145 40.79884341608271, -73.95355041939054 40.7980552915401, -73.95458751458612 40.798490901222216, -73.9540142950446 40.799279030867886)))",86,990343.06709,990671.15108,231243.27134,231571.35533
"MULTIPOLYGON (((-73.95297719132145 40.79884341608271, -73.9519401011718 40.798407791936604, -73.952513337768 40.79761967249713, -73.95355041939054 40.7980552915401, -73.95297719132145 40.79884341608271)))",87,990671.15108,990999.23507,231243.27134,231571.35533
"MULTIPOLYGON (((-73.9519401011718 40.798407791936604, -73.95090302459565 40.79797215842977, -73.95147626971853 40.79718404409353, -73.952513337768 40.79761967249713, -73.9519401011718 40.798407791936604)))",88,990999.23507,991327.31906,231243.27134,231571.35533
"MULTIPOLYGON (((-73.95090302459565 40.79797215842977, -73.94986596159306 40.79753651556242, -73.95043921524218 40.7967484063295, -73.95147626971853 40.79718404409353, -73.95090302459565 40.79797215842977)))",89,991327.31906,991655.40305,231243.27134,231571.35533
"MULTIPOLYGON (((-73.94986596159306 40.79753651556242, -73.94882891216402 40.79710086333478, -73.94940217433897 40.79631275920523, -73.95043921524218 40.7967484063295, -73.94986596159306 40.79753651556242)))",90,991655.40305,991983.48704,231243.27134,231571.35533
"MULTIPOLYGON (((-73.95873603109862 40.800233246338074, -73.95769888161104 40.7997976741014, -73.95827206199435 40.79900952619842, -73.95930920295268 40.79944509333239, -73.95873603109862 40.800233246338074)))",101,989030.73113,989358.81512,230915.18735,231243.27134
"MULTIPOLYGON (((-73.95769888161104 40.7997976741014, -73.9566617456964 40.79936209250307, -73.95723493460855 40.79857394970284, -73.95827206199435 40.79900952619842, -73.95769888161104 40.7997976741014)))",102,989358.81512,989686.89911,230915.18735,231243.27134
"MULTIPOLYGON (((-73.9566617456964 40.79936209250307, -73.95562462335477 40.79892650154327, -73.9561978207953 40.7981383638459, -73.95723493460855 40.79857394970284, -73.9566617456964 40.79936209250307)))",103,989686.89911,990014.9831,230915.18735,231243.27134
"MULTIPOLYGON (((-73.95562462335477 40.79892650154327, -73.95458751458612 40.798490901222216, -73.95516072055463 40.79770276862778, -73.9561978207953 40.7981383638459, -73.95562462335477 40.79892650154327)))",104,990014.9831,990343.06709,230915.18735,231243.27134
"MULTIPOLYGON (((-73.95458751458612 40.798490901222216, -73.95355041939054 40.7980552915401, -73.95412363388655 40.79726716404868, -73.95516072055463 40.79770276862778, -73.95458751458612 40.798490901222216)))",105,990343.06709,990671.15108,230915.18735,231243.27134
"MULTIPOLYGON (((-73.95355041939054 40.7980552915401, -73.952513337768 40.79761967249713, -73.9530865607911 40.79683155010885, -73.95412363388655 40.79726716404868, -73.95355041939054 40.7980552915401)))",106,990671.15108,990999.23507,230915.18735,231243.27134
"MULTIPOLYGON (((-73.952513337768 40.79761967249713, -73.95147626971853 40.79718404409353, -73.9520495012683 40.79639592680845, -73.9530865607911 40.79683155010885, -73.952513337768 40.79761967249713)))",107,990999.23507,991327.31906,230915.18735,231243.27134
"MULTIPOLYGON (((-73.95147626971853 40.79718404409353, -73.95043921524218 40.7967484063295, -73.95101245531818 40.79596029414772, -73.9520495012683 40.79639592680845, -73.95147626971853 40.79718404409353)))",108,991327.31906,991655.40305,230915.18735,231243.27134
"MULTIPOLYGON (((-73.95043921524218 40.7967484063295, -73.94940217433897 40.79631275920523, -73.94997542294075 40.79552465212684, -73.95101245531818 40.79596029414772, -73.95043921524218 40.7967484063295)))",109,991655.40305,991983.48704,230915.18735,231243.27134
"MULTIPOLYGON (((-73.95930920295268 40.79944509333239, -73.95827206199435 40.79900952619842, -73.95884522880515 40.79822137534696, -73.95988236123424 40.79865693737829, -73.95930920295268 40.79944509333239)))",120,989030.73113,989358.81512,230587.10336,230915.18735
"MULTIPOLYGON (((-73.95827206199435 40.79900952619842, -73.95723493460855 40.79857394970284, -73.95780810994813 40.79778580395414, -73.95884522880515 40.79822137534696, -73.95827206199435 40.79900952619842)))",121,989358.81512,989686.89911,230587.10336,230915.18735
"MULTIPOLYGON (((-73.95723493460855 40.79857394970284, -73.9561978207953 40.7981383638459, -73.95677100466327 40.79735022320002, -73.95780810994813 40.79778580395414, -73.95723493460855 40.79857394970284)))",122,989686.89911,990014.9831,230587.10336,230915.18735
"MULTIPOLYGON (((-73.9561978207953 40.7981383638459, -73.95516072055463 40.79770276862778, -73.95573391295052 40.796914633084825, -73.95677100466327 40.79735022320002, -73.9561978207953 40.7981383638459)))",123,990014.9831,990343.06709,230587.10336,230915.18735
"MULTIPOLYGON (((-73.95516072055463 40.79770276862778, -73.95412363388655 40.79726716404868, -73.95469683480995 40.79647903360876, -73.95573391295052 40.796914633084825, -73.95516072055463 40.79770276862778)))",124,990343.06709,990671.15108,230587.10336,230915.18735
"MULTIPOLYGON (((-73.95412363388655 40.79726716404868, -73.9530865607911 40.79683155010885, -73.95365977024157 40.79604342477204, -73.95469683480995 40.79647903360876, -73.95412363388655 40.79726716404868)))",125,990671.15108,990999.23507,230587.10336,230915.18735
"MULTIPOLYGON (((-73.9530865607911 40.79683155010885, -73.9520495012683 40.79639592680845, -73.95262271924541 40.795607806574814, -73.95365977024157 40.79604342477204, -73.9530865607911 40.79683155010885)))",126,990999.23507,991327.31906,230587.10336,230915.18735
"MULTIPOLYGON (((-73.9520495012683 40.79639592680845, -73.95101245531818 40.79596029414772, -73.95158568182148 40.795172179017364, -73.95262271924541 40.795607806574814, -73.9520495012683 40.79639592680845)))",127,991327.31906,991655.40305,230587.10336,230915.18735
"MULTIPOLYGON (((-73.95101245531818 40.79596029414772, -73.94997542294075 40.79552465212684, -73.95054865796983 40.794736542099834, -73.95158568182148 40.795172179017364, -73.95101245531818 40.79596029414772)))",128,991655.40305,991983.48704,230587.10336,230915.18735
"MULTIPOLYGON (((-73.95988236123424 40.79865693737829, -73.95884522880515 40.79822137534696, -73.95941838204385 40.7974332215473, -73.96045550594373 40.79786877847599, -73.95988236123424 40.79865693737829)))",139,989030.73113,989358.81512,230259.01937,230587.10336
"MULTIPOLYGON (((-73.95884522880515 40.79822137534696, -73.95780810994813 40.79778580395414, -73.95838127171561 40.79699765525721, -73.95941838204385 40.7974332215473, -73.95884522880515 40.79822137534696)))",140,989358.81512,989686.89911,230259.01937,230587.10336
"MULTIPOLYGON (((-73.95780810994813 40.79778580395414, -73.95677100466327 40.79735022320002, -73.95734417495908 40.79656207960591, -73.95838127171561 40.79699765525721, -73.95780810994813 40.79778580395414)))",141,989686.89911,990014.9831,230259.01937,230587.10336
"MULTIPOLYGON (((-73.95677100466327 40.79735022320002, -73.95573391295052 40.796914633084825, -73.95630709177425 40.79612649459362, -73.95734417495908 40.79656207960591, -73.95677100466327 40.79735022320002)))",142,990014.9831,990343.06709,230259.01937,230587.10336
"MULTIPOLYGON (((-73.95573391295052 40.796914633084825, -73.95469683480995 40.79647903360876, -73.95527002216116 40.79569090022054, -73.95630709177425 40.79612649459362, -73.95573391295052 40.796914633084825)))",143,990343.06709,990671.15108,230259.01937,230587.10336
"MULTIPOLYGON (((-73.95469683480995 40.79647903360876, -73.95365977024157 40.79604342477204, -73.95423296611983 40.795255296486886, -73.95527002216116 40.79569090022054, -73.95469683480995 40.79647903360876)))",144,990671.15108,990999.23507,230259.01937,230587.10336
"MULTIPOLYGON (((-73.95365977024157 40.79604342477204, -73.95262271924541 40.795607806574814, -73.95319592365027 40.79481968339285, -73.95423296611983 40.795255296486886, -73.95365977024157 40.79604342477204)))",145,990999.23507,991327.31906,230259.01937,230587.10336
"MULTIPOLYGON (((-73.95262271924541 40.795607806574814, -73.95158568182148 40.795172179017364, -73.95215889475253 40.79438406093864, -73.95319592365027 40.79481968339285, -73.95262271924541 40.795607806574814)))",146,991327.31906,991655.40305,230259.01937,230587.10336
"MULTIPOLYGON (((-73.95158568182148 40.795172179017364, -73.95054865796983 40.794736542099834, -73.95112187942662 40.79394842912446, -73.95215889475253 40.79438406093864, -73.95158568182148 40.795172179017364)))",147,991655.40305,991983.48704,230259.01937,230587.10336
"MULTIPOLYGON (((-73.96045550594373 40.79786877847599, -73.95941838204385 40.7974332215473, -73.95999152171088 40.79664506479968, -73.96102863708158 40.79708061662575, -73.96045550594373 40.79786877847599)))",158,989030.73113,989358.81512,229930.93538,230259.01937
"MULTIPOLYGON (((-73.95941838204385 40.7974332215473, -73.95838127171561 40.79699765525721, -73.95895441991141 40.79620950361231, -73.95999152171088 40.79664506479968, -73.95941838204385 40.7974332215473)))",159,989358.81512,989686.89911,229930.93538,230259.01937
"MULTIPOLYGON (((-73.95838127171561 40.79699765525721, -73.95734417495908 40.79656207960591, -73.95791733168319 40.795773933063806, -73.95895441991141 40.79620950361231, -73.95838127171561 40.79699765525721)))",160,989686.89911,990014.9831,229930.93538,230259.01937
"MULTIPOLYGON (((-73.95734417495908 40.79656207960591, -73.95630709177425 40.79612649459362, -73.95688025702624 40.7953383531544, -73.95791733168319 40.795773933063806, -73.95734417495908 40.79656207960591)))",161,990014.9831,990343.06709,229930.93538,230259.01937
"MULTIPOLYGON (((-73.95630709177425 40.79612649459362, -73.95527002216116 40.79569090022054, -73.9558431959406 40.794902763884295, -73.95688025702624 40.7953383531544, -73.95630709177425 40.79612649459362)))",162,990343.06709,990671.15108,229930.93538,230259.01937
"MULTIPOLYGON (((-73.95527002216116 40.79569090022054, -73.95423296611983 40.795255296486886, -73.95480614842629 40.794467165253685, -73.9558431959406 40.794902763884295, -73.95527002216116 40.79569090022054)))",163,990671.15108,990999.23507,229930.93538,230259.01937
"MULTIPOLYGON (((-73.95423296611983 40.795255296486886, -73.95319592365027 40.79481968339285, -73.95376911448332 40.7940315572628, -73.95480614842629 40.794467165253685, -73.95423296611983 40.795255296486886)))",164,990999.23507,991327.31906,229930.93538,230259.01937
"MULTIPOLYGON (((-73.95319592365027 40.79481968339285, -73.95215889475253 40.79438406093864, -73.95273209411174 40.793595939911825, -73.95376911448332 40.7940315572628, -73.95319592365027 40.79481968339285)))",165,991327.31906,991655.40305,229930.93538,230259.01937
"MULTIPOLYGON (((-73.95215889475253 40.79438406093864, -73.95112187942662 40.79394842912446, -73.95169508731155 40.793160313200985, -73.95273209411174 40.793595939911825, -73.95215889475253 40.79438406093864)))",166,991655.40305,991983.48704,229930.93538,230259.01937
"MULTIPOLYGON (((-73.96102863708158 40.79708061662575, -73.95999152171088 40.79664506479968, -73.96056464780669 40.795856905104365, -73.96160175464824 40.79629245182783, -73.96102863708158 40.79708061662575)))",177,989030.73113,989358.81512,229602.85139,229930.93538
"MULTIPOLYGON (((-73.95999152171088 40.79664506479968, -73.95895441991141 40.79620950361231, -73.95952755453595 40.79542134901967, -73.96056464780669 40.795856905104365, -73.95999152171088 40.79664506479968)))",178,989358.81512,989686.89911,229602.85139,229930.93538
"MULTIPOLYGON (((-73.95895441991141 40.79620950361231, -73.95791733168319 40.795773933063806, -73.95849047483601 40.79498578357393, -73.95952755453595 40.79542134901967, -73.95895441991141 40.79620950361231)))",179,989686.89911,990014.9831,229602.85139,229930.93538
"MULTIPOLYGON (((-73.95791733168319 40.795773933063806, -73.95688025702624 40.7953383531544, -73.95745340870694 40.7945502087674, -73.95849047483601 40.79498578357393, -73.95791733168319 40.795773933063806)))",180,990014.9831,990343.06709,229602.85139,229930.93538
"MULTIPOLYGON (((-73.95688025702624 40.7953383531544, -73.9558431959406 40.794902763884295, -73.95641635614872 40.79411462460025, -73.95745340870694 40.7945502087674, -73.95688025702624 40.7953383531544)))",181,990343.06709,990671.15108,229602.85139,229930.93538
"MULTIPOLYGON (((-73.9558431959406 40.794902763884295, -73.95480614842629 40.794467165253685, -73.9553793171614 40.793679031072685, -73.95641635614872 40.79411462460025, -73.9558431959406 40.794902763884295)))",182,990671.15108,990999.23507,229602.85139,229930.93538
"MULTIPOLYGON (((-73.95480614842629 40.794467165253685, -73.95376911448332 40.7940315572628, -73.95434229174501 40.79324342818493, -73.9553793171614 40.793679031072685, -73.95480614842629 40.794467165253685)))",183,990999.23507,991327.31906,229602.85139,229930.93538
"MULTIPOLYGON (((-73.95376911448332 40.7940315572628, -73.95273209411174 40.793595939911825, -73.95330527989954 40.79280781593717, -73.95434229174501 40.79324342818493, -73.95376911448332 40.7940315572628)))",184,991327.31906,991655.40305,229602.85139,229930.93538
"MULTIPOLYGON (((-73.95273209411174 40.793595939911825, -73.95169508731155 40.793160313200985, -73.95226828162505 40.792372194329616, -73.95330527989954 40.79280781593717, -73.95273209411174 40.793595939911825)))",185,991655.40305,991983.48704,229602.85139,229930.93538
"MULTIPOLYGON (((-73.96160175464824 40.79629245182783, -73.96056464780669 40.795856905104365, -73.96113776033171 40.795068742461574, -73.9621748586441 40.79550428408246, -73.96160175464824 40.79629245182783)))",196,989030.73113,989358.81512,229274.7674,229602.85139
"MULTIPOLYGON (((-73.96056464780669 40.795856905104365, -73.95952755453595 40.79542134901967, -73.96010067558967 40.794633191479555, -73.96113776033171 40.795068742461574, -73.96056464780669 40.795856905104365)))",197,989358.81512,989686.89911,229274.7674,229602.85139
"MULTIPOLYGON (((-73.95952755453595 40.79542134901967, -73.95849047483601 40.79498578357393, -73.959063604418 40.79419763113658, -73.96010067558967 40.794633191479555, -73.95952755453595 40.79542134901967)))",198,989686.89911,990014.9831,229274.7674,229602.85139
"MULTIPOLYGON (((-73.95849047483601 40.79498578357393, -73.95745340870694 40.7945502087674, -73.95802654681675 40.79376206143289, -73.959063604418 40.79419763113658, -73.95849047483601 40.79498578357393)))",199,990014.9831,990343.06709,229274.7674,229602.85139
"MULTIPOLYGON (((-73.95745340870694 40.7945502087674, -73.95641635614872 40.79411462460025, -73.95698950278596 40.79332648236866, -73.95802654681675 40.79376206143289, -73.95745340870694 40.7945502087674)))",200,990343.06709,990671.15108,229274.7674,229602.85139
"MULTIPOLYGON (((-73.95641635614872 40.79411462460025, -73.9553793171614 40.793679031072685, -73.9559524723256 40.79289089394412, -73.95698950278596 40.79332648236866, -73.95641635614872 40.79411462460025)))",201,990671.15108,990999.23507,229274.7674,229602.85139
"MULTIPOLYGON (((-73.9553793171614 40.793679031072685, -73.95434229174501 40.79324342818493, -73.95491545543574 40.79245529615947, -73.9559524723256 40.79289089394412, -73.9553793171614 40.793679031072685)))",202,990999.23507,991327.31906,229274.7674,229602.85139
"MULTIPOLYGON (((-73.95434229174501 40.79324342818493, -73.95330527989954 40.79280781593717, -73.95387845211638 40.7920196890149, -73.95491545543574 40.79245529615947, -73.95434229174501 40.79324342818493)))",203,991327.31906,991655.40305,229274.7674,229602.85139
"MULTIPOLYGON (((-73.95330527989954 40.79280781593717, -73.95226828162505 40.792372194329616, -73.95284146236757 40.791584072510645, -73.95387845211638 40.7920196890149, -73.95330527989954 40.79280781593717)))",204,991655.40305,991983.48704,229274.7674,229602.85139
"MULTIPOLYGON (((-73.9621748586441 40.79550428408246, -73.96113776033171 40.795068742461574, -73.96171085928636 40.79428057687161, -73.96274794906964 40.794716113389924, -73.9621748586441 40.79550428408246)))",215,989030.73113,989358.81512,228946.68341,229274.7674
"MULTIPOLYGON (((-73.96113776033171 40.795068742461574, -73.96010067558967 40.794633191479555, -73.96067378307299 40.79384503099221, -73.96171085928636 40.79428057687161, -73.96113776033171 40.795068742461574)))",216,989358.81512,989686.89911,228946.68341,229274.7674
"MULTIPOLYGON (((-73.96010067558967 40.794633191479555, -73.959063604418 40.79419763113658, -73.95963672042959 40.79340947575198, -73.96067378307299 40.79384503099221, -73.96010067558967 40.794633191479555)))",217,989686.89911,990014.9831,228946.68341,229274.7674
"MULTIPOLYGON (((-73.959063604418 40.79419763113658, -73.95802654681675 40.79376206143289, -73.95859967135615 40.79297391115111, -73.95963672042959 40.79340947575198, -73.959063604418 40.79419763113658)))",218,990014.9831,990343.06709,228946.68341,229274.7674
"MULTIPOLYGON (((-73.95802654681675 40.79376206143289, -73.95698950278596 40.79332648236866, -73.95756263585272 40.79253833718978, -73.95859967135615 40.79297391115111, -73.95802654681675 40.79376206143289)))",219,990343.06709,990671.15108,228946.68341,229274.7674
"MULTIPOLYGON (((-73.95698950278596 40.79332648236866, -73.9559524723256 40.79289089394412, -73.95652561391933 40.79210275386826, -73.95756263585272 40.79253833718978, -73.95698950278596 40.79332648236866)))",220,990671.15108,990999.23507,228946.68341,229274.7674
"MULTIPOLYGON (((-73.9559524723256 40.79289089394412, -73.95491545543574 40.79245529615947, -73.95548860555597 40.79166716118669, -73.95652561391933 40.79210275386826, -73.9559524723256 40.79289089394412)))",221,990999.23507,991327.31906,228946.68341,229274.7674
"MULTIPOLYGON (((-73.95491545543574 40.79245529615947, -73.95387845211638 40.7920196890149, -73.9544516107627 40.791231559145295, -73.95548860555597 40.79166716118669, -73.95491545543574 40.79245529615947)))",222,991327.31906,991655.40305,228946.68341,229274.7674
"MULTIPOLYGON (((-73.95387845211638 40.7920196890149, -73.95284146236757 40.791584072510645, -73.95341462953952 40.790795947744314, -73.9544516107627 40.791231559145295, -73.95387845211638 40.7920196890149)))",223,991655.40305,991983.48704,228946.68341,229274.7674
"MULTIPOLYGON (((-73.96274794906964 40.794716113389924, -73.96171085928636 40.79428057687161, -73.96228394467107 40.79349240833465, -73.96332102592528 40.79392793975044, -73.96274794906964 40.794716113389924)))",234,989030.73113,989358.81512,228618.59942,228946.68341
"MULTIPOLYGON (((-73.96171085928636 40.79428057687161, -73.96067378307299 40.79384503099221, -73.96124687698637 40.79305686755791, -73.96228394467107 40.79349240833465, -73.96171085928636 40.79428057687161)))",235,989358.81512,989686.89911,228618.59942,228946.68341
"MULTIPOLYGON (((-73.96067378307299 40.79384503099221, -73.95963672042959 40.79340947575198, -73.96020982287118 40.79262131742039, -73.96124687698637 40.79305686755791, -73.96067378307299 40.79384503099221)))",236,989686.89911,990014.9831,228618.59942,228946.68341
"MULTIPOLYGON (((-73.95963672042959 40.79340947575198, -73.95859967135615 40.79297391115111, -73.95917278232552 40.79218575792232, -73.96020982287118 40.79262131742039, -73.95963672042959 40.79340947575198)))",237,990014.9831,990343.06709,228618.59942,228946.68341
"MULTIPOLYGON (((-73.95859967135615 40.79297391115111, -73.95756263585272 40.79253833718978, -73.95813575534946 40.79175018906389, -73.95917278232552 40.79218575792232, -73.95859967135615 40.79297391115111)))",238,990343.06709,990671.15108,228618.59942,228946.68341
"MULTIPOLYGON (((-73.95756263585272 40.79253833718978, -73.95652561391933 40.79210275386826, -73.95709874194299 40.79131461084532, -73.95813575534946 40.79175018906389, -73.95756263585272 40.79253833718978)))",239,990671.15108,990999.23507,228618.59942,228946.68341
"MULTIPOLYGON (((-73.95652561391933 40.79210275386826, -73.95548860555597 40.79166716118669, -73.95606174210612 40.79087902326683, -73.95709874194299 40.79131461084532, -73.95652561391933 40.79210275386826)))",240,990999.23507,991327.31906,228618.59942,228946.68341
"MULTIPOLYGON (((-73.95548860555597 40.79166716118669, -73.9544516107627 40.791231559145295, -73.9550247558389 40.790443426328615, -73.95606174210612 40.79087902326683, -73.95548860555597 40.79166716118669)))",241,991327.31906,991655.40305,228618.59942,228946.68341
"MULTIPOLYGON (((-73.9544516107627 40.791231559145295, -73.95341462953952 40.790795947744314, -73.95398778314136 40.79000782003084, -73.9550247558389 40.790443426328615, -73.9544516107627 40.791231559145295)))",242,991655.40305,991983.48704,228618.59942,228946.68341
"MULTIPOLYGON (((-73.96332102592528 40.79392793975044, -73.96228394467107 40.79349240833465, -73.9628570164863 40.792704236850994, -73.96389408921144 40.79313976316428, -73.96332102592528 40.79392793975044)))",253,989030.73113,989358.81512,228290.51543,228618.59942
"MULTIPOLYGON (((-73.96228394467107 40.79349240833465, -73.96124687698637 40.79305686755791, -73.9618199573302 40.79226870117685, -73.9628570164863 40.792704236850994, -73.96228394467107 40.79349240833465)))",254,989358.81512,989686.89911,228290.51543,228618.59942
"MULTIPOLYGON (((-73.96124687698637 40.79305686755791, -73.96020982287118 40.79262131742039, -73.96078291174322 40.79183315614203, -73.9618199573302 40.79226870117685, -73.96124687698637 40.79305686755791)))",255,989686.89911,990014.9831,228290.51543,228618.59942
"MULTIPOLYGON (((-73.96020982287118 40.79262131742039, -73.95917278232552 40.79218575792232, -73.95974587972535 40.791397601746745, -73.96078291174322 40.79183315614203, -73.96020982287118 40.79262131742039)))",256,990014.9831,990343.06709,228290.51543,228618.59942
"MULTIPOLYGON (((-73.95917278232552 40.79218575792232, -73.95813575534946 40.79175018906389, -73.9587088612766 40.79096203799121, -73.95974587972535 40.791397601746745, -73.95917278232552 40.79218575792232)))",257,990343.06709,990671.15108,228290.51543,228618.59942
"MULTIPOLYGON (((-73.95813575534946 40.79175018906389, -73.95709874194299 40.79131461084532, -73.95767185639703 40.7905264648756, -73.9587088612766 40.79096203799121, -73.95813575534946 40.79175018906389)))",258,990671.15108,990999.23507,228290.51543,228618.59942
"MULTIPOLYGON (((-73.95709874194299 40.79131461084532, -73.95606174210612 40.79087902326683, -73.95663486508663 40.79009088240012, -73.95767185639703 40.7905264648756, -73.95709874194299 40.79131461084532)))",259,990999.23507,991327.31906,228290.51543,228618.59942
"MULTIPOLYGON (((-73.95606174210612 40.79087902326683, -73.9550247558389 40.790443426328615, -73.95559788734545 40.789655290565044, -73.95663486508663 40.79009088240012, -73.95606174210612 40.79087902326683)))",260,991327.31906,991655.40305,228290.51543,228618.59942
"MULTIPOLYGON (((-73.9550247558389 40.790443426328615, -73.95398778314136 40.79000782003084, -73.9545609231735 40.78921968937051, -73.95559788734545 40.789655290565044, -73.9550247558389 40.790443426328615)))",261,991655.40305,991983.48704,228290.51543,228618.59942
"MULTIPOLYGON (((-73.96389408921144 40.79313976316428, -73.9628570164863 40.792704236850994, -73.96343007473246 40.79191606242089, -73.96446713892855 40.79235158363166, -73.96389408921144 40.79313976316428)))",272,989030.73113,989358.81512,227962.43144,228290.51543
"MULTIPOLYGON (((-73.9628570164863 40.792704236850994, -73.9618199573302 40.79226870117685, -73.96239302410498 40.79148053184932, -73.96343007473246 40.79191606242089, -73.9628570164863 40.792704236850994)))",273,989358.81512,989686.89911,227962.43144,228290.51543
"MULTIPOLYGON (((-73.9618199573302 40.79226870117685, -73.96078291174322 40.79183315614203, -73.96135598704616 40.791044991917175, -73.96239302410498 40.79148053184932, -73.9618199573302 40.79226870117685)))",274,989686.89911,990014.9831,227962.43144,228290.51543
"MULTIPOLYGON (((-73.96078291174322 40.79183315614203, -73.95974587972535 40.791397601746745, -73.96031896355602 40.79060944262465, -73.96135598704616 40.791044991917175, -73.96078291174322 40.79183315614203)))",275,990014.9831,990343.06709,227962.43144,228290.51543
"MULTIPOLYGON (((-73.95974587972535 40.791397601746745, -73.9587088612766 40.79096203799121, -73.95928195363459 40.790173883971946, -73.96031896355602 40.79060944262465, -73.95974587972535 40.791397601746745)))",276,990343.06709,990671.15108,227962.43144,228290.51543
"MULTIPOLYGON (((-73.9587088612766 40.79096203799121, -73.95767185639703 40.7905264648756, -73.95824495728188 40.78973831595929, -73.95928195363459 40.790173883971946, -73.9587088612766 40.79096203799121)))",277,990671.15108,990999.23507,227962.43144,228290.51543
"MULTIPOLYGON (((-73.95767185639703 40.7905264648756, -73.95663486508663 40.79009088240012, -73.95720797449793 40.789302738586855, -73.95824495728188 40.78973831595929, -73.95767185639703 40.7905264648756)))",278,990999.23507,991327.31906,227962.43144,228290.51543
"MULTIPOLYGON (((-73.95663486508663 40.79009088240012, -73.95559788734545 40.789655290565044, -73.95617100528276 40.78886715185487, -73.95720797449793 40.789302738586855, -73.95663486508663 40.79009088240012)))",279,991327.31906,991655.40305,227962.43144,228290.51543
"MULTIPOLYGON (((-73.95559788734545 40.789655290565044, -73.9545609231735 40.78921968937051, -73.95513404963637 40.788431555763545, -73.95617100528276 40.78886715185487, -73.95559788734545 40.789655290565044)))",280,991655.40305,991983.48704,227962.43144,228290.51543
"MULTIPOLYGON (((-73.96446713892855 40.79235158363166, -73.96343007473246 40.79191606242089, -73.96400311940998 40.79112788504455, -73.96504017507708 40.79156340115284, -73.96446713892855 40.79235158363166)))",291,989030.73113,989358.81512,227634.34745,227962.43144
"MULTIPOLYGON (((-73.96343007473246 40.79191606242089, -73.96239302410498 40.79148053184932, -73.96296607731108 40.79069235957556, -73.96400311940998 40.79112788504455, -73.96343007473246 40.79191606242089)))",292,989358.81512,989686.89911,227634.34745,227962.43144
"MULTIPOLYGON (((-73.96239302410498 40.79148053184932, -73.96135598704616 40.791044991917175, -73.96192904878042 40.79025682474607, -73.96296607731108 40.79069235957556, -73.96239302410498 40.79148053184932)))",293,989686.89911,990014.9831,227634.34745,227962.43144
"MULTIPOLYGON (((-73.96135598704616 40.791044991917175, -73.96031896355602 40.79060944262465, -73.960892033818 40.78982128055629, -73.96192904878042 40.79025682474607, -73.96135598704616 40.791044991917175)))",294,990014.9831,990343.06709,227634.34745,227962.43144
